obs,totbill,tip,sex,smoker,day,time,size
1,16.99,1.01,F,No,Sun,Night,2
2,24.43,1.66,F,No,Sun,Night,4
3,32.33,0.45,M,No,Sun,Night,3
4,16.11,3.33,M,No,Sun,Night,2
5,17.0,3.61,F,No,Sun,Night,3
6,21.9,3.14,F,No,Sun,Night,4
7,12.55,4.35,F,No,Sun,Night,2
8,17.54,4.76,M,No,Sun,Night,3
9,18.455,2.9,M,No,Sun,Night,4
10,23.43,7.33,M,No,Sun,Night,3
11,8.77,0.21,F,No,Sun,Night,2
12,9.33,0.36,M,No,Sun,Night,4
13,14.44,0.66,M,No,Sun,Night,2
14,16.65,1.33,F,No,Sun,Night,3
15,28.43,2.36,F,No,Sun,Night,2
16,35.43,3.55,M,No,Sun,Night,4
17,32.3,4.33,F,No,Sat,Night,2
18,14.33,1.455,M,No,Sat,Night,3
19,17.66,4.33,F,No,Sat,Night,3
20,19.36,3.69,F,No,Sat,Night,2
